충전구분,충전소명,주소
완속,위례스타힐스,서울특별시 송파구 장지동 위례광장로 215
완속,송파파인타운7단지,서울특별시 송파구 충민로 4길 19
급속,더샵스타리버 아파트,서울특별시 송파구 올림픽로35길 93
완속,성내1차이편한세상,서울특별시 강동구 천호대로168길 58
완속,대우한강베네시티 아파트,서울특별시 강동구 올림픽로 664
급속,송파파인타운9단지,서울특별시 송파구 송파대로 8길 17
급속,송파파크데일2단지,서울특별시 송파구 마천동 성내천로47길 38
급속,마천동1공영주차장,서울특별시 송파구 성내천로43길 6
완속,송파파인타운5단지,서울특별시 송파구 장지동 충민로4길 5
완속,송파파인타운6단지 아파트,서울특별시 송파구 충민로6길 14
완속,GS강동자이 아파트,서울특별시 강동구 천호대로 1239
급속,위례스타힐스,서울특별시 송파구 장지동 위례광장로 215
급속,삼전동 공영주차장,서울특별시 송파구 삼전동 175-8
완속,위례 포레샤인 23단지,서울특별시 송파구 장지동 380-1
완속,강일리버파크7단지 아파트,서울특별시 강동구 아리수로98길 25
완속,강일리버파크5단지,서울특별시 강동구 강일동 아리수로97길 20
급속,송파파크데일1단지 아파트,서울특별시 송파구 마천동 성내천로37길 37
급속,문정근린공원 공영주차장,서울특별시 송파구 문정로 지하 12
급속,송파성원상떼빌,서울특별시 송파구 가락동 송파대로28길 27
완속,잠실파크인수,서울특별시 송파구 백제고분로 187
완속,송파더센트레,서울특별시 송파구 위례광장로 163
완속,문정래미안아파트,서울특별시 송파구 문정동 문정로 83
급속,현대백화점 천호점,서울특별시 강동구 천호대로 1005
완속,거여1단지 아파트,서울특별시 송파구 거여동 양산로8길 8
급속,가락쌍용1차 아파트,서울특별시 송파구 가락동 동남로 193
급속,거여1단지 아파트,서울특별시 송파구 거여동 양산로8길 8
완속,잠실한양3차 아파트,서울특별시 송파구 방이동 양재대로 1089
급속,위례 포레샤인 23단지,서울특별시 송파구 장지동 380-1
급속,갤러리아팰리스,서울특별시 송파구 잠실동 40
완속,힐스테이트 강동리버뷰,서울특별시 강동구 올림픽로91길 30
급속,송파꿈에그린(위례24단지),서울특별시 송파구 장지동 516
완속,송파와이즈더샵,서울특별시 송파구 장지동 위례광장로 270
급속,강일리버파크5단지,서울특별시 강동구 강일동 아리수로97길 20
완속,둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172
완속,송파파크데일2단지,서울특별시 송파구 마천동 성내천로47길 38
완속,성내동중앙하이츠,서울특별시 강동구 양재대로95길 53
급속,강일리버파크 6단지,서울특별시 강동구 강일동 아리수로94길 19
급속,송파공영주차장,서울특별시 송파구 백제고분로44길 13-25
급속,GS강동자이 아파트,서울특별시 강동구 천호대로 1239
완속,송파파인타운10단지,서울특별시 송파구 장지동 송파대로8길 20
완속,송파파인타운1단지아파트,서울특별시 송파구 장지동 833
급속,한강극동아파트,서울특별시 송파구 풍납동 토성로 38-6
완속,암펠로스타워,서울특별시 강동구 둔촌동 명일로 110
완속,한강극동아파트,서울특별시 송파구 풍납동 토성로 38-6
완속,길동삼익파크,서울특별시 강동구 길동 명일로 293
급속,성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128
완속,고덕리엔파크1단지,서울특별시 강동구 상일로 152
급속,둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172
급속,고덕리엔파크3단지 아파트,서울특별시 강동구 상일로 74
완속,풍납쌍용,서울특별시 송파구 풍납동 올림픽로47길 9
급속,길동삼익파크,서울특별시 강동구 길동 명일로 293
완속,강동송파지사,서울특별시 강동구 둔촌동 522-9
급속,고덕아이파크,서울특별시 강동구 고덕동 동남로79길 26
급속,강일리버파크3단지,서울특별시 강동구 강일동 아리수로93길 40
급속,명일한양아파트,서울특별시 강동구 명일동 동남로71길 19
급속,강동보건소,서울특별시 강동구 성내동 541-2
급속,거여4단지 아파트,서울특별시 송파구 거여동 양산로4길 8
급속,위례송파푸르지오 아파트,서울특별시 송파구 장지동 위례광장로 185
급속,거여5단지 아파트,서울특별시 송파구 거여동 양산로4길 16
급속,강일리버파크7단지 아파트,서울특별시 강동구 아리수로98길 25
급속,송파파인타운10단지,서울특별시 송파구 장지동 송파대로8길 20
급속,잠실롯데캐슬골드 아파트,서울특별시 송파구 신천동 올림픽로 269
완속,강일리버파크11단지,서울특별시 강동구 강일동 고덕로97길 100
급속,송파파인타운5단지,서울특별시 송파구 장지동 충민로4길 5
급속,강일리버파크10단지,서울특별시 강동구 강일동 고덕로97길 20
급속,한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41
완속,암사라인 아파트,서울특별시 강동구 암사동 고덕로 53
완속,한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41
급속,강동헤르셔,서울특별시 강동구 천호동 천호대로 1089
급속,신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102
완속,송파현대힐스테이트,서울특별시 송파구 풍납동 풍성로26길 31
완속,경보그레이스 힐,서울특별시 강동구 성내동 풍성로53길 40
급속,풍납쌍용,서울특별시 송파구 풍납동 올림픽로47길 9
급속,문정래미안아파트,서울특별시 송파구 문정동 문정로 83
급속,송파파인타운7단지,서울특별시 송파구 충민로 4길 19
완속,쌍용스윗닷홈 거여1차 아파트,서울특별시 송파구 오금로62길 10
완속,가락우성2차 아파트,서울특별시 송파구 가락동 중대로12길 35
완속,한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30
급속,천호유수지,서울특별시 강동구 선사로 70
급속,송파도서관,서울특별시 송파구 동남로 263 
급속,강동아트센터(강동문화재단),서울특별시 강동구 동남로 870 
완속,문래힐스테이트,서울특별시 영등포구 문래동3가 문래로 82
완속,롯데캐슬엠파이어,서울특별시 영등포구 여의도동 의사당대로 127
완속,영등포아트자이 아파트,서울특별시 영등포구 도림동 도영로 66
급속,대림어린이공원 공영주차장,서울특별시 영등포구 대림동 870
완속,문래자이아파트,서울특별시 영등포구 문래동3가 당산로4길 12
급속,남서울직할(영등포)지사,서울특별시 영등포구 문래동3가 80
완속,신길경남 아파트,서울특별시 영등포구 영등포로 351
급속,남서울직할,서울특별시 영등포구 여의도동 21
완속,당산대우 아파트,서울특별시 영등포구 당산동2가 16-1
완속,국회의사당,서울특별시 영등포구 여의도동 1
완속,바다마을아파트,서울특별시 영등포구 신길동 가마산로 540
완속,신길뉴타운한화꿈에그린,서울특별시 영등포구 신길동 신길로 119
완속,보라매벚꽃마을아파트,서울특별시 영등포구 신길동 대방천로14길 34
급속,신길삼성래미안,서울특별시 영등포구 신길동 가마산로79길 7
완속,대림동현대3차 아파트,서울특별시 영등포구 대림동 608-1
급속,문래자이아파트,서울특별시 영등포구 문래동3가 당산로4길 12
완속,신길삼성래미안,서울특별시 영등포구 신길동 가마산로79길 7
완속,양평한신아파트,서울특별시 영등포구 양평동5가 76
급속,대림운동장 공영주차장,서울특별시 영등포구 대림동 780
