충전구분,충전소명,주소
급속,역삼e-편한세상,서울특별시 강남구 역삼동 755-4
급속,공무원연금공단 서울지부(상록회관),서울특별시 강남구 언주로 508 
완속,개봉영화 아파트,서울특별시 구로구 개봉동 475
급속,금천구청 지상 주차장,서울특별시 금천구 시흥동 1020
완속,신도림동아1차 아파트,서울특별시 구로구 신도림로 87
급속,고척스카이돔,서울특별시 구로구 고척동 63-6
완속,천왕연지타운1단지,서울특별시 구로구 오류동 오류로 30
급속,구로구청 주차장,서울특별시 구로구 구로동 435
완속,오류푸르지오,서울특별시 구로구 오류동 346
완속,신구로자이 아파트,서울특별시 구로구 구로동 501
완속,구로삼성래미안,서울특별시 구로구 구로동 256-1
급속,고척근린공원 지하주차장,서울특별시 구로구 고척로 45길 39
급속,지식산업센터(동일테크노타운8차),서울특별시 금천구 범안로 17길 1
급속,신도림동아1차 아파트,서울특별시 구로구 신도림로 87
완속,항동하버라인3단지,서울특별시 구로구 항동 119-12
급속,고척파크푸르지오,서울특별시 구로구 고척동 339
급속,메이퀸 웨딩홀,서울특별시 금천구 독산동 152-1
완속,고척파크푸르지오,서울특별시 구로구 고척동 339
급속,구로아트밸리 지하1층,서울특별시 구로구 가마산로25길 21 
급속,고척벽산블루밍 아파트,서울특별시 구로구 고척동 경인로 390
급속,지식산업센터(대륭테크노타운2차),서울특별시 금천구 가산디지털1로 33-33
완속,신도림7차e-편한세상아파트,서울특별시 구로구 신도림동 신도림로 56-13
급속,개봉영화 아파트,서울특별시 구로구 개봉동 475
급속,구로4동 주택가 공동,서울특별시 구로구 구로동 741-44
완속,남서울힐스테이트아파트,서울특별시 금천구 시흥동 시흥대로 165
급속,롯데 아파트,서울특별시 구로구 구로동 1263
완속,고척벽산블루밍 아파트,서울특별시 구로구 고척동 경인로 390
완속,신도림 쌍용플래티넘노블,서울특별시 구로구 구로동 46-7
완속,천왕이펜하우스2단지,서울특별시 구로구 천왕동 천왕로 92
완속,구로중앙하이츠아파트,서울특별시 구로구 구로동로47길 24 
급속,구로삼성래미안,서울특별시 구로구 구로동 256-1
완속,롯데 아파트,서울특별시 구로구 구로동 1263
급속,구로아트밸리 지하2층,서울특별시 구로구 가마산로25길 21 
급속,남서울힐스테이트아파트,서울특별시 금천구 시흥동 시흥대로 165
완속,동아한신아파트,서울특별시 구로구 고척동 327
급속,천왕연지타운1단지,서울특별시 구로구 오류동 오류로 30
급속,동아한신아파트,서울특별시 구로구 고척동 327
완속,고척LIG리가 아파트,서울특별시 구로구 고척동 340
급속,고척LIG리가 아파트,서울특별시 구로구 고척동 340
완속,천왕이펜하우스4단지 아파트,서울특별시 구로구 천왕동 천왕로 29
완속,천왕이펜하우스5단지,서울특별시 구로구 천왕동 천왕로 10
완속,개봉대상아파트,서울특별시 구로구 개봉동 477
급속,오류푸르지오,서울특별시 구로구 오류동 346
급속,천왕이펜하우스5단지,서울특별시 구로구 천왕동 천왕로 10
급속,천왕이펜하우스2단지,서울특별시 구로구 천왕동 천왕로 92
급속,천왕이펜하우스4단지 아파트,서울특별시 구로구 천왕동 천왕로 29
급속,구로리공원,서울특별시 구로구 구로중앙로 13 
완속,경남1차 아파트,서울특별시 구로구 고척동 경인로47길 150
완속,근상프리즘아파트,서울특별시 구로구 구로동 1283
급속,하늘공원 공영주차장,서울특별시 구로구 벚꽃로 370 
완속,구로성호메이플라워,서울특별시 구로구 구로동 가마산로 283
급속,금나래체육문화센타,서울특별시 금천구 시흥대로79길 32 
완속,강남전력지사,서울특별시 서초구 서초동 1355
완속,장안힐스테이트 아파트,서울특별시 동대문구 장안동 장안벚꽃로1길 7
급속,배봉공영주차장,서울특별시 동대문구 망우로 18나길 20
급속,브라운스톤태릉 아파트,서울특별시 중랑구 묵동 공릉로18길 59
완속,휘경베스트빌현대,서울특별시 동대문구 휘경동 장안벚꽃로5길 19
완속,이문쌍용아파트,서울특별시 동대문구 이문동 한천로58길 47
급속,휘경주공1단지,서울특별시 동대문구 휘경동 한천로 248
급속,답십리래미안위브2블럭,서울특별시 동대문구 답십리로 130
완속,"면목두산2,3차 아파트",서울시 중랑구 면목로37길 58
급속,이문쌍용아파트,서울특별시 동대문구 이문동 한천로58길 47
완속,신내LG쌍용아파트,서울특별시 중랑구 상봉동 봉화산로 130
급속,전농sk 아파트,서울특별시 동대문구 전농동 사가정로 148
급속,면목3동 공영주차장,서울특별시 중랑구 면목동 1081-1
급속,브라운스톤휘경,서울특별시 동대문구 휘경동 망우로20길 86
급속,상봉우정 아파트,서울특별시 중랑구 상봉동 상봉중앙로1다길 21
급속,동대문중랑지사,서울특별시 중랑구 동일로 862
완속,"면목두산4,5단지 아파트",서울시 중랑구 면목로35길 63
급속,장안힐스테이트 아파트,서울특별시 동대문구 장안동 장안벚꽃로1길 7
급속,래미안엘파인 아파트,서울특별시 동대문구 답십리동 한천로37길 33
급속,"면목두산4,5단지 아파트",서울시 중랑구 면목로35길 63
완속,휘경주공1단지,서울특별시 동대문구 휘경동 한천로 248
급속,회기동 공영주차장,서울특별시 동대문구 회기동 1-1
완속,묵동자이2단지 아파트,서울특별시 중랑구 묵동 동일로 932
완속,래미안엘파인 아파트,서울특별시 동대문구 답십리동 한천로37길 33
완속,한일써너스빌 아파트,서울특별시 중랑구 상봉동 망우로 346
완속,면목두원 아파트,서울특별시 중랑구 면목동 동일로 483
완속,청솔우성,서울특별시 동대문구 전농로10길 20
급속,동일스위트리버,서울특별시 동대문구 한천로 300
완속,신내우디안1단지,서울특별시 중랑구 신내동 신내역로1길 85
완속,답십리래미안위브2블럭,서울특별시 동대문구 답십리로 130
완속,묵동자이1단지 아파트,서울특별시 중랑구 묵동 숙선옹주로 6-9
급속,한일써너스빌 아파트,서울특별시 중랑구 상봉동 망우로 346
완속,답십리래미안위브1블럭,서울특별시 동대문구 답십리로 130
급속,신내7단지진로아파트,서울특별시 중랑구 신내동 신내로17길 41
완속,중랑해모로 아파트,서울특별시 중랑구 망우동 양원역로 6
완속,신내건영1차 아파트,서울특별시 중랑구 봉화산로48길 62
급속,묵동자이2단지 아파트,서울특별시 중랑구 묵동 동일로 932
완속,상봉우정 아파트,서울특별시 중랑구 상봉동 상봉중앙로1다길 21
완속,동대문중랑지사,서울특별시 중랑구 동일로 862
급속,힐스테이트청계,서울특별시 동대문구 천호대로55길 11 
완속,중랑숲리가 아파트,서울특별시 중랑구 망우동 망우로75길 19
급속,휘경베스트빌현대,서울특별시 동대문구 휘경동 장안벚꽃로5길 19
급속,답십리래미안위브1블럭,서울특별시 동대문구 답십리로 130
급속,청솔우성,서울특별시 동대문구 전농로10길 20
완속,신내7단지진로아파트,서울특별시 중랑구 신내동 신내로17길 41
급속,묵동자이1단지 아파트,서울특별시 중랑구 묵동 숙선옹주로 6-9
급속,신내우디안1단지,서울특별시 중랑구 신내동 신내역로1길 85
급속,"면목두산2,3차 아파트",서울시 중랑구 면목로37길 58
급속,신내LG쌍용아파트,서울특별시 중랑구 상봉동 봉화산로 130
급속,태릉시장 중화공영주차장,서울특별시 중랑구 중랑역로 9 
급속,중랑숲리가 아파트,서울특별시 중랑구 망우동 망우로75길 19
급속,우림골목시장 주차장,서울특별시 중랑구 망우로62길 52-4 
급속,신내테크노타운,서울특별시 중랑구 봉화산로 123 
급속,청량리역사(한화역사),서울특별시 동대문구 왕산로 214 
완속,성수동아이파크 아파트,서울특별시 성동구 성수동2가 성수이로 137
완속,더샵스타시티 아파트,서울특별시 광진구 자양동 아차산로 262
급속,광진구청 주차장,서울특별시 광진구 자양로 117
급속,자양2동유수지 공영주차장,서울특별시 광진구 뚝섬로 52길 74
급속,뚝도충전소,서울특별시 광진구 자양3동 510-8
완속,리버그린동아 아파트,서울특별시 성동구 응봉동 고산자로4길 34
완속,광장힐스테이트 아파트,서울특별시 광진구 광장동 아차산로 537-17
완속,센트라스 2획지,서울특별시 성동구 왕십리로 410
급속,강변테크노마트 주차장,서울특별시 광진구 광나루로56길 85 
완속,e편한세상 금호파크힐스,서울특별시 성동구 금호동1가 금호로 140
완속,행당한진타운,서울특별시 성동구 행당동 행당로 82
완속,센트라스 1획지,서울특별시 성동구 하왕십리동 843
완속,금호자이1차,서울특별시 성동구 금호동2가 금호로 117
급속,성수동아이파크 아파트,서울특별시 성동구 성수동2가 성수이로 137
완속,뚝도충전소,서울특별시 광진구 자양3동 510-8
완속,강변테크노마트 주차장,서울특별시 광진구 광나루로56길 85 
급속,광장힐스테이트 아파트,서울특별시 광진구 광장동 아차산로 537-17
완속,센트라스 6획지,서울특별시 성동구 하왕십리동 674-1
급속,서울 새활용플라자,서울특별시 성동구 자동차시장길 49
급속,서울숲푸르지오 아파트,서울특별시 성동구 금호동4가 금호로 15
급속,리버그린동아 아파트,서울특별시 성동구 응봉동 고산자로4길 34
급속,한양대학교,서울특별시 성동구 왕십리로 222 
완속,센트라스 3획지,서울특별시 성동구 왕십리로 410
급속,금호자이1차,서울특별시 성동구 금호동2가 금호로 117
급속,장로회신학대학교,서울특별시 광진구 광장로5길 25-1
완속,구의삼성쉐르빌아파트,서울특별시 광진구 구의강변로 106 
급속,행당한진타운,서울특별시 성동구 행당동 행당로 82
완속,광진성동지사,서울특별시 성동구 마장로27길 13
급속,광진성동지사,서울특별시 성동구 마장로27길 13
급속,센트라스 2획지,서울특별시 성동구 왕십리로 410
급속,구의삼성쉐르빌상가,서울특별시 광진구 구의강변로 106 
완속,광진하우스토리한강,서울특별시 광진구 자양동 구의강변로1길 44
급속,서울숲M타워,서울특별시 성동구 뚝섬로1길 31 
완속,자양금강KCC 아파트,서울특별시 광진구 자양동 아차산로36길 13
급속,더샵스타시티 아파트,서울특별시 광진구 자양동 아차산로 262
급속,센트라스 3획지,서울특별시 성동구 왕십리로 410
급속,센트라스 1획지,서울특별시 성동구 하왕십리동 843
완속,성수2차대우 아파트,서울특별시 성동구 성수동1가 상원6길 16
급속,센트라스 6획지,서울특별시 성동구 하왕십리동 674-1
완속,자양10차현대홈타운,서울특별시 광진구 자양동 뚝섬로34길 25-19
급속,e편한세상 금호파크힐스,서울특별시 성동구 금호동1가 금호로 140
급속,서울숲SK V1 타워,서울특별시 성동구 성수일로8길 5 
급속,금호스포츠센터,서울특별시 성동구 금호로 20 
급속,뚝섬유수지 공영주차장,서울특별시 성동구 성수동1가 685-63번지
완속,창동3차현대아파트,서울특별시 도봉구 창동 도봉로 428
급속,중계주공4단지 아파트,서울특별시 노원구 중계동 덕릉로76길 29
완속,동아청솔아파트,서울특별시 도봉구 창동 노해로69길 103
급속,동아청솔아파트,서울특별시 도봉구 창동 노해로69길 103
급속,홈플러스 방학점,서울특별시 도봉구 도봉로 678
급속,중계경남롯데상아 아파트,서울특별시 노원구 섬밭로 265 
급속,노원구청,서울특별시 노원구 상계동 701-1
급속,서울과학기술대학교,서울특별시 노원구 공릉로 232
급속,창동주공19단지,서울특별시 도봉구 창동 노해로 403
급속,도봉구민회관,서울특별시 도봉구 도봉로 552 
급속,삼육대학교,서울특별시 노원구 화랑로 815
급속,창동쌍용 아파트,서울특별시 도봉구 창동 마들로 551
급속,창동주공18단지아파트,서울특별시 도봉구 노해로70길 126 
완속,창동2차현대아파트,서울특별시 도봉구 창동 도봉로136길 111
급속,창동대우아파트,서울특별시 도봉구 덕릉로63가길 43 
완속,상계주공16단지아파트,서울특별시 노원구 동일로227길 86 
완속,상계동양 아파트,서울특별시 노원구 상계동 상계로5길 12
완속,중계현대2차 아파트,서울특별시 노원구 한글비석로 15길 51
완속,방학우성1차 아파트,서울특별시 도봉구 방학동 해등로 286-5
완속,학여울청구 아파트,서울특별시 노원구 하계동 동일로207길 186
급속,대상타운현대아파트,서울특별시 도봉구 마들로 616
완속,중계주공4단지 아파트,서울특별시 노원구 중계동 덕릉로76길 29
완속,롯데우성 아파트,서울특별시 노원구 중계동 노원로22길 34
급속,북한산코오롱하늘채 아파트,서울특별시 도봉구 우이천로 367
급속,중계센트럴파크,서울특별시 노원구 덕릉로70가길 21 
급속,서울가든 아파트,서울특별시 도봉구 도봉동 도봉산길 35
급속,방학극동 아파트,서울특별시 도봉구 시루봉로 11길 25-8
완속,창동주공19단지,서울특별시 도봉구 창동 노해로 403
급속,도봉구청,서울특별시 도봉구 마들로 656 
급속,화랑타운,서울특별시 노원구 공릉동 화랑로51길 17
완속,노원프레미어스엠코,서울특별시 노원구 공릉동 670-20
급속,한일병원,서울특별시 도봉구 쌍문동 388-1
급속,상계주공15단지,서울특별시 노원구 상계동 652
완속,월계동세양청마루 아파트,서울특별시 노원구 월계동 석계로13길 35
완속,상계동아불암아파트,서울특별시 노원구 상계동 덕릉로 780
완속,동아에코빌 아파트,서울특별시 도봉구 도봉동 도봉로180길 6-23
완속,동진신안 아파트,서울특별시 노원구 중계동 중계로 195
완속,방학5단지 신동아 아파트,서울특별시 도봉구 방학동 방학로12길 53
완속,공릉대동2차,서울특별시 노원구 공릉동 동일로195길 39
완속,미주동방벽운 아파트,서울특별시 노원구 상계동 동일로250길 18
완속,공릉대아2차 아파트,서울특별시 노원구 동일로183길 34
급속,도봉서원 아파트,서울특별시 도봉구 마들로 684-20
급속,상계주공16단지아파트,서울특별시 노원구 동일로227길 86 
급속,창동2차현대아파트,서울특별시 도봉구 창동 도봉로136길 111
완속,동신 아파트,서울특별시 노원구 공릉동 공릉로 213
급속,상계동양 아파트,서울특별시 노원구 상계동 상계로5길 12
급속,도봉현대성우 아파트,서울특별시 도봉구 마들로 735-8
완속,중계건영3차아파트,서울특별시 노원구 노원로22길 71 
급속,중계건영3차아파트,서울특별시 노원구 노원로22길 71 
완속,공릉8단지청솔아파트,서울특별시 노원구 공릉동 91
완속,화랑타운,서울특별시 노원구 공릉동 화랑로51길 17
급속,북서울시립미술관,서울특별시 노원구 동일로 1238 
완속,월계청백1단지 아파트,서울특별시 노원구 월계동 초안산로 89
완속,월계우남 아파트,서울특별시 노원구 월계동 화랑로 355
급속,공릉비선아파트,서울특별시 노원구 공릉동 화랑로51길 78
급속,방학4단지신동아,서울특별시 도봉구 방학동 방학로 200
완속,도봉현대성우 아파트,서울특별시 도봉구 마들로 735-8
완속,창동한신 아파트,서울특별시 도봉구 창동 덕릉로60바길 21
완속,쌍문한양6차 아파트,서울특별시 도봉구 시루봉로 58
급속,동아에코빌 아파트,서울특별시 도봉구 도봉동 도봉로180길 6-23
급속,월계청백1단지 아파트,서울특별시 노원구 월계동 초안산로 89
완속,중계우성3차아파트,서울특별시 노원구 중계동 덕릉로 613
완속,노원도봉지사,서울특별시 노원구 노해로 429 
완속,방학명품ESA2단지,서울특별시 도봉구 방학동 도봉로150길 43
완속,대상타운현대아파트,서울특별시 도봉구 마들로 616
완속,수락리버시티3단지,서울특별시 노원구 상계동 누원로 28
완속,방학금광포란재,서울특별시 도봉구 방학동 도봉로150바길 26
완속,쌍문미라보아파트,서울특별시 도봉구 시루봉로2길 62 
완속,공릉동부 아파트,서울특별시 노원구 공릉동 공릉로 206
급속,롯데우성 아파트,서울특별시 노원구 중계동 노원로22길 34
완속,공릉비선아파트,서울특별시 노원구 공릉동 화랑로51길 78
급속,수락리버시티3단지,서울특별시 노원구 상계동 누원로 28
급속,상계동아불암아파트,서울특별시 노원구 상계동 덕릉로 780
완속,서울가든 아파트,서울특별시 도봉구 도봉동 도봉산길 35
급속,학여울청구 아파트,서울특별시 노원구 하계동 동일로207길 186
완속,방학4단지신동아,서울특별시 도봉구 방학동 방학로 200
완속,창동대동 아파트,서울특별시 도봉구 창동 도봉로 642-30
완속,효성하이타운,서울특별시 도봉구 방학동 방학로11길 33
급속,동신 아파트,서울특별시 노원구 공릉동 공릉로 213
완속,대주파크빌 아파트,서울특별시 노원구 공릉동 섬밭로 52
완속,공릉대동 아파트,서울특별시 노원구 공릉동 동일로175길 38
완속,노원우성아파트,서울특별시 노원구 상계동 상계로7길 18
완속,상계신동아 아파트,서울특별시 노원구 상계동 한글비석로52길 66
급속,상계신동아 아파트,서울특별시 노원구 상계동 한글비석로52길 66
급속,쌍문한양6차 아파트,서울특별시 도봉구 시루봉로 58
급속,공릉2단지라이프 아파트,서울특별시 노원구 공릉동 섬밭로 156
완속,북한산코오롱하늘채 아파트,서울특별시 도봉구 우이천로 367
완속,쌍문현대2차 아파트,서울특별시 도봉구 시루봉로 6길53
완속,창동한승미메이드 아파트,서울특별시 도봉구 덕릉로 60길 164-13
완속,창동수산트리플 아파트,서울특별시 도봉구 창동 우이천로20길 6
완속,쌍문염광 아파트,서울특별시 도봉구 쌍문동 우이천로30길 28
급속,창동한승미메이드 아파트,서울특별시 도봉구 덕릉로 60길 164-13
급속,중계삼성 아파트,서울특별시 노원구 중계동 중계로14나길 25
완속,중계삼성 아파트,서울특별시 노원구 중계동 중계로14나길 25
완속,공릉풍림아파트,서울특별시 노원구 공릉동 섬밭로 139
급속,공릉풍림아파트,서울특별시 노원구 공릉동 섬밭로 139
완속,현대그린 아파트,서울특별시 노원구 중계동 중계로8길 39
급속,동진신안 아파트,서울특별시 노원구 중계동 중계로 195
급속,한국원자력의학원,서울특별시 노원구 노원로 75 
급속,방학우성1차 아파트,서울특별시 도봉구 방학동 해등로 286-5
완속,공릉동현대성우 아파트,서울특별시 노원구 공릉동 공릉로27길 110
급속,노원도봉지사,서울특별시 노원구 노해로 429 
급속,도깨비시장 공영주차장,서울특별시 도봉구 방학로10길 51 
급속,방학3동 주민센터,서울특별시 도봉구 시루봉로 94 
급속,창3동 주민센터,서울특별시 도봉구 덕릉로62길 89
급속,홍은1동 제4공영주차장,서울특별시 서대문구 홍은중앙로 125
급속,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481
급속,서울특별시은평병원 주차장,서울특별시 은평구 백련산로 90
완속,꿈에그린,서울특별시 은평구 진관동 65-31
완속,연희대우 아파트,서울특별시 서대문구 연희동 739
완속,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481
완속,남가좌삼성 아파트,서울특별시 서대문구 남가좌동 377
완속,DMC센트럴아이파크아파트,서울특별시 서대문구 증가로 150 
급속,연세대학교,서울특별시 서대문구 연세로 50 
급속,응암3동 공영주차장,서울특별시 은평구 불광천길 436 
완속,인왕산한신휴플러스,서울특별시 서대문구 홍제동 통일로 397
완속,은평뉴타운우물골6단지,서울특별시 은평구 진관동 진관2로 57-7
급속,은평평화공원 공영주차장,서울특별시 은평구 녹번동 153-1
완속,돈의문센트레빌 아파트,서울특별시 서대문구 독립문로14길 33
완속,은평스카이뷰자이아파트,서울특별시 은평구 통일로 1034 
급속,남가좌삼성 아파트,서울특별시 서대문구 남가좌동 377
급속,연희동성원아파트,서울특별시 서대문구 연희로32길 48 
급속,서대문은평지사,서울특별시 은평구 통일로 659
급속,서부수도사업소,서울특별시 서대문구 통일로26길 41 
완속,서대문은평지사,서울특별시 은평구 통일로 659
급속,DMC아이파크 아파트,서울특별시 서대문구 북가좌동 거북골로14길 32
급속,은평뉴타운우물골6단지,서울특별시 은평구 진관동 진관2로 57-7
완속,한국프라우드아파트,서울특별시 은평구 연서로 78 
급속,돈의문센트레빌 아파트,서울특별시 서대문구 독립문로14길 33
완속,무악청구2차 아파트,서울특별시 서대문구 홍제동 통일로 344
급속,연세세브란스 에비슨의생명 연구센터,서울특별시 서대문구 연세로 50-1 
급속,연희동 홍연2교 옆 노상주차장,서울특별시 서대문구 연희동 736
급속,상암월드컵경기장,서울특별시 마포구 월드컵로 243-48 
완속,마포래미안푸르지오 4단지,서울특별시 마포구 아현동 마포대로 195
완속,래미안첼리투스,서울특별시 용산구 이촌동 이촌로 300
급속,마포중앙도서관,서울특별시 마포구 성산로 128 
급속,용산전자상가1 공영주차장,서울특별시 용산구 한강로3가 12
완속,상암월드컵파크3단지,서울특별시 마포구 상암동 월드컵로 338
완속,브라운스톤공덕 아파트,서울특별시 마포구 신공덕동 백범로 230
완속,성지(주상복합) 아파트,서울특별시 마포구 도화동 큰우물로 75
완속,대우월드마크용산,서울특별시 용산구 한강대로 211 
급속,LG한강자이 아파트,서울특별시 용산구 이촌동 이촌로64길 15
완속,마포래미안푸르지오 2단지,서울특별시 마포구 아현동 마포대로 195
완속,용산아크로타워,서울특별시 용산구 문배동 백범로90길 26
완속,용산파크자이아파트,서울특별시 용산구 한강대로 205 
완속,동아그린 아파트,서울특별시 용산구 이촌로 100-8
완속,마포래미안푸르지오 1단지,서울특별시 마포구 아현동 마포대로 195
완속,이안용산프리미어,서울특별시 용산구 문배동 청파로 213
완속,메세나폴리스 아파트,서울특별시 마포구 양화로 45
완속,리첸시아용산B블록,서울특별시 용산구 원효로1가 백범로 341
완속,신촌포스빌,서울특별시 마포구 신촌로 150 
완속,공덕아이파크아파트,서울특별시 마포구 만리재로 36 
완속,용산역 아이파크몰,서울특별시 용산구 한강대로23길 55 
급속,용산역 아이파크몰,서울특별시 용산구 한강대로23길 55 
완속,LG한강자이 아파트,서울특별시 용산구 이촌동 이촌로64길 15
완속,공덕파크자이1단지,서울특별시 마포구 공덕동 백범로 152
완속,파크타워 아파트,서울특별시 용산구 용산동5가 서빙고로 67
완속,마포래미안푸르지오 3단지,서울특별시 마포구 아현동 마포대로 195
완속,용산더프라임,서울특별시 용산구 원효로1가 원효로90길 11
급속,래미안첼리투스,서울특별시 용산구 이촌동 이촌로 300
완속,롯데캐슬프레지던트,서울특별시 마포구 공덕동 마포대로 109
완속,래미안마포리버웰,서울특별시 마포구 용강동 토정로31길 23
급속,한국타이어 한남점,서울특별시 용산구 한남대로 80
완속,마포한강2차 푸르지오아파트,서울특별시 마포구 월드컵로3길 14 
급속,마포용산지사,서울특별시 마포구 토정로37길 38
완속,청암자이 아파트,서울특별시 용산구 삼개로 60 
완속,마포한강푸르지오1차,서울특별시 마포구 월드컵로1길 14 
완속,마포도화우성아파트,서울특별시 마포구 도화동 삼개로 38
완속,한강대우,서울특별시 용산구 이촌동 이촌로 181
완속,e편한세상마포리버파크,서울특별시 마포구 용강동 토정로31길 24
급속,래미안밤섬리베뉴1 아파트,서울특별시 마포구 상수동 독막로20나길 22
급속,한강대우,서울특별시 용산구 이촌동 이촌로 181
완속,공덕파크자이2단지,서울특별시 마포구 공덕동 백범로 152
완속,래미안밤섬리베뉴1 아파트,서울특별시 마포구 상수동 독막로20나길 22
완속,상암월드컵경기장,서울특별시 마포구 월드컵로 243-48 
완속,한남동현대하이페리온,서울특별시 용산구 한남동 서빙고로 413
급속,동아그린 아파트,서울특별시 용산구 이촌로 100-8
급속,상암월드컵파크3단지,서울특별시 마포구 상암동 월드컵로 338
급속,전쟁기념관,서울특별시 용산구 이태원로 29
급속,용산시티파크1단지,서울특별시 용산구 한강로3가 서빙고로 35
급속,마포래미안푸르지오 3단지,서울특별시 마포구 아현동 마포대로 195
급속,마포래미안푸르지오 1단지,서울특별시 마포구 아현동 마포대로 195
완속,한강삼성 아파트,서울특별시 마포구 토정동 토정로32길 11
급속,메세나폴리스 아파트,서울특별시 마포구 양화로 45
완속,래미안밤섬리베뉴2,서울특별시 마포구 상수동 독막로20나길 21
급속,파크타워 아파트,서울특별시 용산구 용산동5가 서빙고로 67
급속,마포래미안푸르지오 4단지,서울특별시 마포구 아현동 마포대로 195
완속,마포용산지사,서울특별시 마포구 토정로37길 38
급속,래미안밤섬리베뉴2,서울특별시 마포구 상수동 독막로20나길 21
급속,창전삼성 아파트,서울특별시 마포구 창전동 서강로 95
완속,용산이안 아파트,서울특별시 용산구 문배동 백범로90길 74
급속,신촌포스빌,서울특별시 마포구 신촌로 150 
급속,청암자이 아파트,서울특별시 용산구 삼개로 60 
급속,마포래미안푸르지오 2단지,서울특별시 마포구 아현동 마포대로 195
완속,마포트라팰리스2차,서울특별시 마포구 마포대로 201
급속,마포자이2차아파트,서울특별시 마포구 서강대길 40 
급속,리첸시아 아파트,서울특별시 용산구 백범로 341
완속,마포대림1차 아파트,서울특별시 마포구 용강동 마포대로1길 21
급속,국립 중앙 박물관,서울특별시 용산구 서빙고로 137
완속,신공덕3삼성래미안,서울특별시 마포구 신공덕동 만리재로 60
급속,래미안마포리버웰,서울특별시 마포구 용강동 토정로31길 23
급속,e편한세상마포리버파크,서울특별시 마포구 용강동 토정로31길 24
급속,한강삼성 아파트,서울특별시 마포구 토정동 토정로32길 11
급속,쌍용황금,서울특별시 마포구 마포동 마포대로 6
급속,용산더프라임,서울특별시 용산구 원효로1가 원효로90길 11
급속,이안용산프리미어,서울특별시 용산구 문배동 청파로 213
완속,프라임팰리스,서울특별시 용산구 문배동 백범로90길 38
완속,용산한신 아파트,서울특별시 용산구 용산동2가 녹사평대로 245
완속,대명 아파트,서울특별시 마포구 연남동 동교로39길 11
급속,마포도화우성아파트,서울특별시 마포구 도화동 삼개로 38
완속,중부전력지사,서울특별시 마포구 토정로 56 
급속,서울서부지방검찰청,서울특별시 마포구 마포대로 174 
급속,서울신용보증재단,서울특별시 마포구 마포대로 163 
급속,남산케이블카,서울특별시 중구 소파로 83 
완속,광화문스페이스본 아파트,서울특별시 종로구 사직동 사직로8길 4
급속,서울직할,서울특별시 중구 남대문로 92
완속,덕수궁 롯데캐슬,서울특별시 중구 순화동 서소문로9길 28
완속,무악현대 아파트,서울특별시 종로구 무악동 통일로 246-20
급속,국립현대미술관 서울관,서울특별시 종로구 삼청로 30
급속,석탄회관,서울특별시 종로구 종로5길 58
급속,남산롯데캐슬아이리스 아파트,서울특별시 중구 소공로 35
완속,동성빌라,서울특별시 종로구 구기동 비봉2길 32
완속,쌍용남산플래티넘 아파트,서울특별시 중구 소공로 46
급속,서울시청,서울특별시 중구 세종대로 110 
완속,효성주얼리시티,서울특별시 종로구 인의동 종로 183
완속,LIG서울역리가아파트,서울특별시 중구 만리동1가 231
완속,남산타운 아파트,서울특별시 중구 다산로 32 1동
급속,신세계 본점,서울특별시 중구 소공로 63 
완속,명륜아남1차 아파트,서울특별시 종로구 명륜2가 창경궁로 265
완속,롯데캐슬베네치아,서울특별시 중구 황학동 청계천로 400
급속,명륜아남1차 아파트,서울특별시 종로구 명륜2가 창경궁로 265
급속,창신쌍용2단지 아파트,서울특별시 종로구 창신동 낙산길 198
급속,한국관광공사 옆 노상 공영주차장,서울특별시 중구 다동 85-4
급속,종로센트레빌,서울특별시 종로구 숭인동 동망산길 47
완속,남산센트럴자이,서울특별시 중구 충무로4가 퇴계로 235
완속,창신쌍용2단지 아파트,서울특별시 종로구 창신동 낙산길 198
급속,쌍용남산플래티넘 아파트,서울특별시 중구 소공로 46
완속,서울직할,서울특별시 중구 남대문로 92
급속,남산타운 아파트,서울특별시 중구 다산로 32 1동
완속,인왕산2차아이파크,서울특별시 종로구 무악동 통일로 246-20
급속,롯데캐슬베네치아,서울특별시 중구 황학동 청계천로 400
급속,동대문디자인플라자,서울특별시 중구 을지로 281
급속,무악현대 아파트,서울특별시 종로구 무악동 통일로 246-20
급속,창신두산 아파트,서울특별시 종로구 창신동 지봉로5길 7
완속,창신이수 아파트,서울특별시 종로구 창신동 지봉로 87
완속,창신두산 아파트,서울특별시 종로구 창신동 지봉로5길 7
완속,롯데캐슬천지인,서울특별시 종로구 숭인동 종로 347
급속,광화문스페이스본 아파트,서울특별시 종로구 사직동 사직로8길 4
완속,경희궁의아침3단지 아파트,서울특별시 종로구 내수동 사직로8길 34
급속,국립중앙극장,서울특별시 중구 장충단로 59 
급속,전국은행연합회,서울특별시 중구 명동11길 19 
급속,묵정공원 공영주차장,서울특별시 중구 퇴계로45길 32-12 
급속,약수동공영주차장,서울특별시 중구 동호로8다길 22 
급속,SK렌터카 본사,서울특별시 종로구 삼일대로19길 5 
완속,SK렌터카 본사,서울특별시 종로구 삼일대로19길 5 
급속,서울역(한화역사),서울특별시 중구 한강대로 405 
완속,강북성북지사(공용),서울특별시 강북구 강북구 도봉로 242
완속,정릉e편한세상 아파트,서울특별시 성북구 정릉동 솔샘로24길 15
